,index,Depth Path,Image Path,Instance Segmentation Path,Semantic Segmentation Path
20,20,hypersim_data/ai_048_009/images/scene_cam_01_geometry_hdf5/frame.0030.depth_meters.hdf5,hypersim_data/ai_048_009/images/scene_cam_01_final_preview/frame.0030.color.jpg,hypersim_data/ai_048_009/images/scene_cam_01_geometry_hdf5/frame.0030.semantic_instance.hdf5,hypersim_data/ai_048_009/images/scene_cam_01_geometry_hdf5/frame.0030.semantic.hdf5
21,21,hypersim_data/ai_024_014/images/scene_cam_00_geometry_hdf5/frame.0035.depth_meters.hdf5,hypersim_data/ai_024_014/images/scene_cam_00_final_preview/frame.0035.color.jpg,hypersim_data/ai_024_014/images/scene_cam_00_geometry_hdf5/frame.0035.semantic_instance.hdf5,hypersim_data/ai_024_014/images/scene_cam_00_geometry_hdf5/frame.0035.semantic.hdf5
22,22,hypersim_data/ai_009_007/images/scene_cam_00_geometry_hdf5/frame.0080.depth_meters.hdf5,hypersim_data/ai_009_007/images/scene_cam_00_final_preview/frame.0080.color.jpg,hypersim_data/ai_009_007/images/scene_cam_00_geometry_hdf5/frame.0080.semantic_instance.hdf5,hypersim_data/ai_009_007/images/scene_cam_00_geometry_hdf5/frame.0080.semantic.hdf5
23,23,hypersim_data/ai_014_010/images/scene_cam_00_geometry_hdf5/frame.0005.depth_meters.hdf5,hypersim_data/ai_014_010/images/scene_cam_00_final_preview/frame.0005.color.jpg,hypersim_data/ai_014_010/images/scene_cam_00_geometry_hdf5/frame.0005.semantic_instance.hdf5,hypersim_data/ai_014_010/images/scene_cam_00_geometry_hdf5/frame.0005.semantic.hdf5
24,24,hypersim_data/ai_023_003/images/scene_cam_01_geometry_hdf5/frame.0075.depth_meters.hdf5,hypersim_data/ai_023_003/images/scene_cam_01_final_preview/frame.0075.color.jpg,hypersim_data/ai_023_003/images/scene_cam_01_geometry_hdf5/frame.0075.semantic_instance.hdf5,hypersim_data/ai_023_003/images/scene_cam_01_geometry_hdf5/frame.0075.semantic.hdf5
25,25,hypersim_data/ai_032_007/images/scene_cam_00_geometry_hdf5/frame.0040.depth_meters.hdf5,hypersim_data/ai_032_007/images/scene_cam_00_final_preview/frame.0040.color.jpg,hypersim_data/ai_032_007/images/scene_cam_00_geometry_hdf5/frame.0040.semantic_instance.hdf5,hypersim_data/ai_032_007/images/scene_cam_00_geometry_hdf5/frame.0040.semantic.hdf5
26,26,hypersim_data/ai_002_006/images/scene_cam_00_geometry_hdf5/frame.0075.depth_meters.hdf5,hypersim_data/ai_002_006/images/scene_cam_00_final_preview/frame.0075.color.jpg,hypersim_data/ai_002_006/images/scene_cam_00_geometry_hdf5/frame.0075.semantic_instance.hdf5,hypersim_data/ai_002_006/images/scene_cam_00_geometry_hdf5/frame.0075.semantic.hdf5
27,27,hypersim_data/ai_053_003/images/scene_cam_00_geometry_hdf5/frame.0085.depth_meters.hdf5,hypersim_data/ai_053_003/images/scene_cam_00_final_preview/frame.0085.color.jpg,hypersim_data/ai_053_003/images/scene_cam_00_geometry_hdf5/frame.0085.semantic_instance.hdf5,hypersim_data/ai_053_003/images/scene_cam_00_geometry_hdf5/frame.0085.semantic.hdf5
28,28,hypersim_data/ai_053_004/images/scene_cam_00_geometry_hdf5/frame.0035.depth_meters.hdf5,hypersim_data/ai_053_004/images/scene_cam_00_final_preview/frame.0035.color.jpg,hypersim_data/ai_053_004/images/scene_cam_00_geometry_hdf5/frame.0035.semantic_instance.hdf5,hypersim_data/ai_053_004/images/scene_cam_00_geometry_hdf5/frame.0035.semantic.hdf5
29,29,hypersim_data/ai_006_001/images/scene_cam_01_geometry_hdf5/frame.0080.depth_meters.hdf5,hypersim_data/ai_006_001/images/scene_cam_01_final_preview/frame.0080.color.jpg,hypersim_data/ai_006_001/images/scene_cam_01_geometry_hdf5/frame.0080.semantic_instance.hdf5,hypersim_data/ai_006_001/images/scene_cam_01_geometry_hdf5/frame.0080.semantic.hdf5
30,30,hypersim_data/ai_048_001/images/scene_cam_02_geometry_hdf5/frame.0000.depth_meters.hdf5,hypersim_data/ai_048_001/images/scene_cam_02_final_preview/frame.0000.color.jpg,hypersim_data/ai_048_001/images/scene_cam_02_geometry_hdf5/frame.0000.semantic_instance.hdf5,hypersim_data/ai_048_001/images/scene_cam_02_geometry_hdf5/frame.0000.semantic.hdf5
31,31,hypersim_data/ai_005_009/images/scene_cam_00_geometry_hdf5/frame.0075.depth_meters.hdf5,hypersim_data/ai_005_009/images/scene_cam_00_final_preview/frame.0075.color.jpg,hypersim_data/ai_005_009/images/scene_cam_00_geometry_hdf5/frame.0075.semantic_instance.hdf5,hypersim_data/ai_005_009/images/scene_cam_00_geometry_hdf5/frame.0075.semantic.hdf5
32,32,hypersim_data/ai_016_004/images/scene_cam_00_geometry_hdf5/frame.0005.depth_meters.hdf5,hypersim_data/ai_016_004/images/scene_cam_00_final_preview/frame.0005.color.jpg,hypersim_data/ai_016_004/images/scene_cam_00_geometry_hdf5/frame.0005.semantic_instance.hdf5,hypersim_data/ai_016_004/images/scene_cam_00_geometry_hdf5/frame.0005.semantic.hdf5
33,33,hypersim_data/ai_048_006/images/scene_cam_03_geometry_hdf5/frame.0065.depth_meters.hdf5,hypersim_data/ai_048_006/images/scene_cam_03_final_preview/frame.0065.color.jpg,hypersim_data/ai_048_006/images/scene_cam_03_geometry_hdf5/frame.0065.semantic_instance.hdf5,hypersim_data/ai_048_006/images/scene_cam_03_geometry_hdf5/frame.0065.semantic.hdf5
34,34,hypersim_data/ai_028_002/images/scene_cam_00_geometry_hdf5/frame.0045.depth_meters.hdf5,hypersim_data/ai_028_002/images/scene_cam_00_final_preview/frame.0045.color.jpg,hypersim_data/ai_028_002/images/scene_cam_00_geometry_hdf5/frame.0045.semantic_instance.hdf5,hypersim_data/ai_028_002/images/scene_cam_00_geometry_hdf5/frame.0045.semantic.hdf5
35,35,hypersim_data/ai_044_010/images/scene_cam_01_geometry_hdf5/frame.0005.depth_meters.hdf5,hypersim_data/ai_044_010/images/scene_cam_01_final_preview/frame.0005.color.jpg,hypersim_data/ai_044_010/images/scene_cam_01_geometry_hdf5/frame.0005.semantic_instance.hdf5,hypersim_data/ai_044_010/images/scene_cam_01_geometry_hdf5/frame.0005.semantic.hdf5
36,36,hypersim_data/ai_002_001/images/scene_cam_00_geometry_hdf5/frame.0095.depth_meters.hdf5,hypersim_data/ai_002_001/images/scene_cam_00_final_preview/frame.0095.color.jpg,hypersim_data/ai_002_001/images/scene_cam_00_geometry_hdf5/frame.0095.semantic_instance.hdf5,hypersim_data/ai_002_001/images/scene_cam_00_geometry_hdf5/frame.0095.semantic.hdf5
37,37,hypersim_data/ai_027_005/images/scene_cam_02_geometry_hdf5/frame.0070.depth_meters.hdf5,hypersim_data/ai_027_005/images/scene_cam_02_final_preview/frame.0070.color.jpg,hypersim_data/ai_027_005/images/scene_cam_02_geometry_hdf5/frame.0070.semantic_instance.hdf5,hypersim_data/ai_027_005/images/scene_cam_02_geometry_hdf5/frame.0070.semantic.hdf5
38,39,hypersim_data/ai_043_005/images/scene_cam_00_geometry_hdf5/frame.0000.depth_meters.hdf5,hypersim_data/ai_043_005/images/scene_cam_00_final_preview/frame.0000.color.jpg,hypersim_data/ai_043_005/images/scene_cam_00_geometry_hdf5/frame.0000.semantic_instance.hdf5,hypersim_data/ai_043_005/images/scene_cam_00_geometry_hdf5/frame.0000.semantic.hdf5
39,40,hypersim_data/ai_048_008/images/scene_cam_03_geometry_hdf5/frame.0085.depth_meters.hdf5,hypersim_data/ai_048_008/images/scene_cam_03_final_preview/frame.0085.color.jpg,hypersim_data/ai_048_008/images/scene_cam_03_geometry_hdf5/frame.0085.semantic_instance.hdf5,hypersim_data/ai_048_008/images/scene_cam_03_geometry_hdf5/frame.0085.semantic.hdf5
40,41,hypersim_data/ai_048_003/images/scene_cam_03_geometry_hdf5/frame.0000.depth_meters.hdf5,hypersim_data/ai_048_003/images/scene_cam_03_final_preview/frame.0000.color.jpg,hypersim_data/ai_048_003/images/scene_cam_03_geometry_hdf5/frame.0000.semantic_instance.hdf5,hypersim_data/ai_048_003/images/scene_cam_03_geometry_hdf5/frame.0000.semantic.hdf5
41,42,hypersim_data/ai_001_002/images/scene_cam_02_geometry_hdf5/frame.0090.depth_meters.hdf5,hypersim_data/ai_001_002/images/scene_cam_02_final_preview/frame.0090.color.jpg,hypersim_data/ai_001_002/images/scene_cam_02_geometry_hdf5/frame.0090.semantic_instance.hdf5,hypersim_data/ai_001_002/images/scene_cam_02_geometry_hdf5/frame.0090.semantic.hdf5
42,43,hypersim_data/ai_045_005/images/scene_cam_02_geometry_hdf5/frame.0030.depth_meters.hdf5,hypersim_data/ai_045_005/images/scene_cam_02_final_preview/frame.0030.color.jpg,hypersim_data/ai_045_005/images/scene_cam_02_geometry_hdf5/frame.0030.semantic_instance.hdf5,hypersim_data/ai_045_005/images/scene_cam_02_geometry_hdf5/frame.0030.semantic.hdf5
43,44,hypersim_data/ai_028_003/images/scene_cam_00_geometry_hdf5/frame.0035.depth_meters.hdf5,hypersim_data/ai_028_003/images/scene_cam_00_final_preview/frame.0035.color.jpg,hypersim_data/ai_028_003/images/scene_cam_00_geometry_hdf5/frame.0035.semantic_instance.hdf5,hypersim_data/ai_028_003/images/scene_cam_00_geometry_hdf5/frame.0035.semantic.hdf5
44,45,hypersim_data/ai_007_009/images/scene_cam_01_geometry_hdf5/frame.0065.depth_meters.hdf5,hypersim_data/ai_007_009/images/scene_cam_01_final_preview/frame.0065.color.jpg,hypersim_data/ai_007_009/images/scene_cam_01_geometry_hdf5/frame.0065.semantic_instance.hdf5,hypersim_data/ai_007_009/images/scene_cam_01_geometry_hdf5/frame.0065.semantic.hdf5
45,46,hypersim_data/ai_027_001/images/scene_cam_01_geometry_hdf5/frame.0055.depth_meters.hdf5,hypersim_data/ai_027_001/images/scene_cam_01_final_preview/frame.0055.color.jpg,hypersim_data/ai_027_001/images/scene_cam_01_geometry_hdf5/frame.0055.semantic_instance.hdf5,hypersim_data/ai_027_001/images/scene_cam_01_geometry_hdf5/frame.0055.semantic.hdf5
46,47,hypersim_data/ai_016_006/images/scene_cam_00_geometry_hdf5/frame.0020.depth_meters.hdf5,hypersim_data/ai_016_006/images/scene_cam_00_final_preview/frame.0020.color.jpg,hypersim_data/ai_016_006/images/scene_cam_00_geometry_hdf5/frame.0020.semantic_instance.hdf5,hypersim_data/ai_016_006/images/scene_cam_00_geometry_hdf5/frame.0020.semantic.hdf5
47,48,hypersim_data/ai_022_001/images/scene_cam_00_geometry_hdf5/frame.0025.depth_meters.hdf5,hypersim_data/ai_022_001/images/scene_cam_00_final_preview/frame.0025.color.jpg,hypersim_data/ai_022_001/images/scene_cam_00_geometry_hdf5/frame.0025.semantic_instance.hdf5,hypersim_data/ai_022_001/images/scene_cam_00_geometry_hdf5/frame.0025.semantic.hdf5
48,49,hypersim_data/ai_048_001/images/scene_cam_01_geometry_hdf5/frame.0085.depth_meters.hdf5,hypersim_data/ai_048_001/images/scene_cam_01_final_preview/frame.0085.color.jpg,hypersim_data/ai_048_001/images/scene_cam_01_geometry_hdf5/frame.0085.semantic_instance.hdf5,hypersim_data/ai_048_001/images/scene_cam_01_geometry_hdf5/frame.0085.semantic.hdf5
49,50,hypersim_data/ai_053_012/images/scene_cam_00_geometry_hdf5/frame.0055.depth_meters.hdf5,hypersim_data/ai_053_012/images/scene_cam_00_final_preview/frame.0055.color.jpg,hypersim_data/ai_053_012/images/scene_cam_00_geometry_hdf5/frame.0055.semantic_instance.hdf5,hypersim_data/ai_053_012/images/scene_cam_00_geometry_hdf5/frame.0055.semantic.hdf5
50,51,hypersim_data/ai_054_010/images/scene_cam_01_geometry_hdf5/frame.0095.depth_meters.hdf5,hypersim_data/ai_054_010/images/scene_cam_01_final_preview/frame.0095.color.jpg,hypersim_data/ai_054_010/images/scene_cam_01_geometry_hdf5/frame.0095.semantic_instance.hdf5,hypersim_data/ai_054_010/images/scene_cam_01_geometry_hdf5/frame.0095.semantic.hdf5
51,52,hypersim_data/ai_039_010/images/scene_cam_00_geometry_hdf5/frame.0055.depth_meters.hdf5,hypersim_data/ai_039_010/images/scene_cam_00_final_preview/frame.0055.color.jpg,hypersim_data/ai_039_010/images/scene_cam_00_geometry_hdf5/frame.0055.semantic_instance.hdf5,hypersim_data/ai_039_010/images/scene_cam_00_geometry_hdf5/frame.0055.semantic.hdf5
52,53,hypersim_data/ai_027_004/images/scene_cam_02_geometry_hdf5/frame.0040.depth_meters.hdf5,hypersim_data/ai_027_004/images/scene_cam_02_final_preview/frame.0040.color.jpg,hypersim_data/ai_027_004/images/scene_cam_02_geometry_hdf5/frame.0040.semantic_instance.hdf5,hypersim_data/ai_027_004/images/scene_cam_02_geometry_hdf5/frame.0040.semantic.hdf5
53,54,hypersim_data/ai_010_009/images/scene_cam_02_geometry_hdf5/frame.0090.depth_meters.hdf5,hypersim_data/ai_010_009/images/scene_cam_02_final_preview/frame.0090.color.jpg,hypersim_data/ai_010_009/images/scene_cam_02_geometry_hdf5/frame.0090.semantic_instance.hdf5,hypersim_data/ai_010_009/images/scene_cam_02_geometry_hdf5/frame.0090.semantic.hdf5
54,55,hypersim_data/ai_002_007/images/scene_cam_00_geometry_hdf5/frame.0020.depth_meters.hdf5,hypersim_data/ai_002_007/images/scene_cam_00_final_preview/frame.0020.color.jpg,hypersim_data/ai_002_007/images/scene_cam_00_geometry_hdf5/frame.0020.semantic_instance.hdf5,hypersim_data/ai_002_007/images/scene_cam_00_geometry_hdf5/frame.0020.semantic.hdf5
55,56,hypersim_data/ai_033_010/images/scene_cam_00_geometry_hdf5/frame.0060.depth_meters.hdf5,hypersim_data/ai_033_010/images/scene_cam_00_final_preview/frame.0060.color.jpg,hypersim_data/ai_033_010/images/scene_cam_00_geometry_hdf5/frame.0060.semantic_instance.hdf5,hypersim_data/ai_033_010/images/scene_cam_00_geometry_hdf5/frame.0060.semantic.hdf5
56,57,hypersim_data/ai_037_001/images/scene_cam_00_geometry_hdf5/frame.0080.depth_meters.hdf5,hypersim_data/ai_037_001/images/scene_cam_00_final_preview/frame.0080.color.jpg,hypersim_data/ai_037_001/images/scene_cam_00_geometry_hdf5/frame.0080.semantic_instance.hdf5,hypersim_data/ai_037_001/images/scene_cam_00_geometry_hdf5/frame.0080.semantic.hdf5
57,58,hypersim_data/ai_053_003/images/scene_cam_00_geometry_hdf5/frame.0035.depth_meters.hdf5,hypersim_data/ai_053_003/images/scene_cam_00_final_preview/frame.0035.color.jpg,hypersim_data/ai_053_003/images/scene_cam_00_geometry_hdf5/frame.0035.semantic_instance.hdf5,hypersim_data/ai_053_003/images/scene_cam_00_geometry_hdf5/frame.0035.semantic.hdf5
58,60,hypersim_data/ai_035_010/images/scene_cam_00_geometry_hdf5/frame.0040.depth_meters.hdf5,hypersim_data/ai_035_010/images/scene_cam_00_final_preview/frame.0040.color.jpg,hypersim_data/ai_035_010/images/scene_cam_00_geometry_hdf5/frame.0040.semantic_instance.hdf5,hypersim_data/ai_035_010/images/scene_cam_00_geometry_hdf5/frame.0040.semantic.hdf5
59,61,hypersim_data/ai_028_001/images/scene_cam_00_geometry_hdf5/frame.0025.depth_meters.hdf5,hypersim_data/ai_028_001/images/scene_cam_00_final_preview/frame.0025.color.jpg,hypersim_data/ai_028_001/images/scene_cam_00_geometry_hdf5/frame.0025.semantic_instance.hdf5,hypersim_data/ai_028_001/images/scene_cam_00_geometry_hdf5/frame.0025.semantic.hdf5
60,62,hypersim_data/ai_013_007/images/scene_cam_00_geometry_hdf5/frame.0065.depth_meters.hdf5,hypersim_data/ai_013_007/images/scene_cam_00_final_preview/frame.0065.color.jpg,hypersim_data/ai_013_007/images/scene_cam_00_geometry_hdf5/frame.0065.semantic_instance.hdf5,hypersim_data/ai_013_007/images/scene_cam_00_geometry_hdf5/frame.0065.semantic.hdf5
61,63,hypersim_data/ai_027_003/images/scene_cam_03_geometry_hdf5/frame.0020.depth_meters.hdf5,hypersim_data/ai_027_003/images/scene_cam_03_final_preview/frame.0020.color.jpg,hypersim_data/ai_027_003/images/scene_cam_03_geometry_hdf5/frame.0020.semantic_instance.hdf5,hypersim_data/ai_027_003/images/scene_cam_03_geometry_hdf5/frame.0020.semantic.hdf5
62,64,hypersim_data/ai_043_006/images/scene_cam_01_geometry_hdf5/frame.0080.depth_meters.hdf5,hypersim_data/ai_043_006/images/scene_cam_01_final_preview/frame.0080.color.jpg,hypersim_data/ai_043_006/images/scene_cam_01_geometry_hdf5/frame.0080.semantic_instance.hdf5,hypersim_data/ai_043_006/images/scene_cam_01_geometry_hdf5/frame.0080.semantic.hdf5
63,65,hypersim_data/ai_043_009/images/scene_cam_01_geometry_hdf5/frame.0050.depth_meters.hdf5,hypersim_data/ai_043_009/images/scene_cam_01_final_preview/frame.0050.color.jpg,hypersim_data/ai_043_009/images/scene_cam_01_geometry_hdf5/frame.0050.semantic_instance.hdf5,hypersim_data/ai_043_009/images/scene_cam_01_geometry_hdf5/frame.0050.semantic.hdf5
64,66,hypersim_data/ai_027_005/images/scene_cam_02_geometry_hdf5/frame.0055.depth_meters.hdf5,hypersim_data/ai_027_005/images/scene_cam_02_final_preview/frame.0055.color.jpg,hypersim_data/ai_027_005/images/scene_cam_02_geometry_hdf5/frame.0055.semantic_instance.hdf5,hypersim_data/ai_027_005/images/scene_cam_02_geometry_hdf5/frame.0055.semantic.hdf5
65,67,hypersim_data/ai_052_004/images/scene_cam_01_geometry_hdf5/frame.0010.depth_meters.hdf5,hypersim_data/ai_052_004/images/scene_cam_01_final_preview/frame.0010.color.jpg,hypersim_data/ai_052_004/images/scene_cam_01_geometry_hdf5/frame.0010.semantic_instance.hdf5,hypersim_data/ai_052_004/images/scene_cam_01_geometry_hdf5/frame.0010.semantic.hdf5
66,68,hypersim_data/ai_048_007/images/scene_cam_03_geometry_hdf5/frame.0010.depth_meters.hdf5,hypersim_data/ai_048_007/images/scene_cam_03_final_preview/frame.0010.color.jpg,hypersim_data/ai_048_007/images/scene_cam_03_geometry_hdf5/frame.0010.semantic_instance.hdf5,hypersim_data/ai_048_007/images/scene_cam_03_geometry_hdf5/frame.0010.semantic.hdf5
67,69,hypersim_data/ai_048_002/images/scene_cam_00_geometry_hdf5/frame.0075.depth_meters.hdf5,hypersim_data/ai_048_002/images/scene_cam_00_final_preview/frame.0075.color.jpg,hypersim_data/ai_048_002/images/scene_cam_00_geometry_hdf5/frame.0075.semantic_instance.hdf5,hypersim_data/ai_048_002/images/scene_cam_00_geometry_hdf5/frame.0075.semantic.hdf5
68,70,hypersim_data/ai_028_009/images/scene_cam_00_geometry_hdf5/frame.0085.depth_meters.hdf5,hypersim_data/ai_028_009/images/scene_cam_00_final_preview/frame.0085.color.jpg,hypersim_data/ai_028_009/images/scene_cam_00_geometry_hdf5/frame.0085.semantic_instance.hdf5,hypersim_data/ai_028_009/images/scene_cam_00_geometry_hdf5/frame.0085.semantic.hdf5
69,71,hypersim_data/ai_024_009/images/scene_cam_00_geometry_hdf5/frame.0030.depth_meters.hdf5,hypersim_data/ai_024_009/images/scene_cam_00_final_preview/frame.0030.color.jpg,hypersim_data/ai_024_009/images/scene_cam_00_geometry_hdf5/frame.0030.semantic_instance.hdf5,hypersim_data/ai_024_009/images/scene_cam_00_geometry_hdf5/frame.0030.semantic.hdf5
70,73,hypersim_data/ai_008_001/images/scene_cam_03_geometry_hdf5/frame.0055.depth_meters.hdf5,hypersim_data/ai_008_001/images/scene_cam_03_final_preview/frame.0055.color.jpg,hypersim_data/ai_008_001/images/scene_cam_03_geometry_hdf5/frame.0055.semantic_instance.hdf5,hypersim_data/ai_008_001/images/scene_cam_03_geometry_hdf5/frame.0055.semantic.hdf5
